#1.000E-01 = radius(micron) Astronomical silicate                   
#w(micron)  Q_abs   
5.623E-03 6.947E-01 
5.309E-03 6.615E-01 
5.012E-03 6.270E-01 
4.732E-03 5.913E-01 
4.467E-03 5.547E-01 
4.217E-03 5.178E-01 
3.981E-03 4.808E-01 
3.758E-03 4.441E-01 
3.548E-03 4.081E-01 
3.350E-03 3.730E-01 
3.162E-03 3.395E-01 
2.985E-03 3.081E-01 
2.818E-03 2.771E-01 
2.661E-03 2.472E-01 
2.512E-03 2.206E-01 
2.371E-03 1.962E-01 
2.239E-03 3.982E-01 
2.113E-03 3.655E-01 
1.995E-03 3.326E-01 
1.884E-03 3.006E-01 
1.778E-03 2.698E-01 
1.679E-03 2.407E-01 
1.585E-03 3.535E-01 
1.496E-03 3.181E-01 
1.413E-03 3.107E-01 
1.334E-03 2.788E-01 
1.259E-03 2.490E-01 
1.189E-03 2.213E-01 
1.122E-03 1.948E-01 
1.059E-03 1.709E-01 
1.000E-03 1.490E-01 
