!lambda    nu*dP/dnu  
! (um)   (erg s-1 H-1)
1.432E+03  1.415E-27  
1.419E+03  1.471E-27  
1.406E+03  1.529E-27  
1.393E+03  1.589E-27  
1.380E+03  1.651E-27  
1.368E+03  1.717E-27  
1.355E+03  1.784E-27  
1.343E+03  1.854E-27  
1.330E+03  1.928E-27  
1.318E+03  2.003E-27  
1.306E+03  2.082E-27  
1.294E+03  2.164E-27  
1.282E+03  2.249E-27  
1.271E+03  2.338E-27  
1.259E+03  2.429E-27  
1.247E+03  2.525E-27  
1.236E+03  2.624E-27  
1.225E+03  2.727E-27  
1.213E+03  2.834E-27  
1.202E+03  2.945E-27  
1.191E+03  3.060E-27  
1.180E+03  3.180E-27  
1.169E+03  3.304E-27  
1.159E+03  3.433E-27  
1.148E+03  3.568E-27  
1.138E+03  3.707E-27  
1.127E+03  3.852E-27  
1.117E+03  4.002E-27  
1.107E+03  4.158E-27  
1.096E+03  4.320E-27  
1.086E+03  4.488E-27  
1.076E+03  4.662E-27  
1.067E+03  4.843E-27  
1.057E+03  5.031E-27  
1.047E+03  5.227E-27  
1.038E+03  5.429E-27  
1.028E+03  5.639E-27  
1.019E+03  5.857E-27  
1.009E+03  6.084E-27  
1.000E+03  6.319E-27  
9.908E+02  6.563E-27  
9.817E+02  6.816E-27  
9.727E+02  7.079E-27  
9.638E+02  7.352E-27  
9.550E+02  7.635E-27  
9.462E+02  7.929E-27  
9.376E+02  8.234E-27  
9.290E+02  8.550E-27  
9.204E+02  8.878E-27  
9.120E+02  9.218E-27  
9.036E+02  9.571E-27  
8.954E+02  9.936E-27  
8.872E+02  1.032E-26  
8.790E+02  1.071E-26  
8.710E+02  1.112E-26  
8.630E+02  1.154E-26  
8.551E+02  1.198E-26  
8.472E+02  1.243E-26  
8.395E+02  1.290E-26  
8.318E+02  1.339E-26  
8.241E+02  1.389E-26  
8.166E+02  1.442E-26  
8.091E+02  1.496E-26  
8.017E+02  1.552E-26  
7.943E+02  1.610E-26  
7.870E+02  1.671E-26  
7.798E+02  1.733E-26  
7.727E+02  1.798E-26  
7.656E+02  1.865E-26  
7.586E+02  1.934E-26  
7.516E+02  2.006E-26  
7.447E+02  2.081E-26  
7.379E+02  2.158E-26  
7.311E+02  2.238E-26  
7.244E+02  2.322E-26  
7.178E+02  2.408E-26  
7.112E+02  2.497E-26  
7.047E+02  2.589E-26  
6.982E+02  2.685E-26  
6.918E+02  2.784E-26  
6.855E+02  2.887E-26  
6.792E+02  2.993E-26  
6.730E+02  3.103E-26  
6.668E+02  3.217E-26  
6.607E+02  3.335E-26  
6.546E+02  3.457E-26  
6.486E+02  3.584E-26  
6.427E+02  3.715E-26  
6.368E+02  3.851E-26  
6.310E+02  3.992E-26  
6.252E+02  4.138E-26  
6.194E+02  4.290E-26  
6.138E+02  4.446E-26  
6.081E+02  4.608E-26  
6.026E+02  4.776E-26  
5.970E+02  4.950E-26  
5.916E+02  5.129E-26  
5.861E+02  5.315E-26  
5.808E+02  5.508E-26  
5.754E+02  5.707E-26  
5.702E+02  5.914E-26  
5.649E+02  6.127E-26  
5.598E+02  6.348E-26  
5.546E+02  6.577E-26  
5.495E+02  6.813E-26  
5.445E+02  7.058E-26  
5.395E+02  7.311E-26  
5.346E+02  7.573E-26  
5.297E+02  7.844E-26  
5.248E+02  8.125E-26  
5.200E+02  8.414E-26  
5.152E+02  8.714E-26  
5.105E+02  9.024E-26  
5.058E+02  9.344E-26  
5.012E+02  9.675E-26  
4.966E+02  1.002E-25  
4.920E+02  1.037E-25  
4.875E+02  1.074E-25  
4.831E+02  1.111E-25  
4.786E+02  1.151E-25  
4.742E+02  1.191E-25  
4.699E+02  1.232E-25  
4.656E+02  1.276E-25  
4.613E+02  1.320E-25  
4.571E+02  1.366E-25  
4.529E+02  1.413E-25  
4.487E+02  1.462E-25  
4.446E+02  1.513E-25  
4.406E+02  1.565E-25  
4.365E+02  1.619E-25  
4.325E+02  1.674E-25  
4.285E+02  1.731E-25  
4.246E+02  1.791E-25  
4.207E+02  1.852E-25  
4.169E+02  1.915E-25  
4.130E+02  1.979E-25  
4.093E+02  2.046E-25  
4.055E+02  2.115E-25  
4.018E+02  2.187E-25  
3.981E+02  2.260E-25  
3.945E+02  2.336E-25  
3.908E+02  2.414E-25  
3.873E+02  2.494E-25  
3.837E+02  2.577E-25  
3.802E+02  2.662E-25  
3.767E+02  2.750E-25  
3.733E+02  2.840E-25  
3.698E+02  2.933E-25  
3.664E+02  3.029E-25  
3.631E+02  3.128E-25  
3.597E+02  3.229E-25  
3.565E+02  3.334E-25  
3.532E+02  3.441E-25  
3.499E+02  3.552E-25  
3.467E+02  3.665E-25  
3.436E+02  3.782E-25  
3.404E+02  3.902E-25  
3.373E+02  4.026E-25  
3.342E+02  4.153E-25  
3.311E+02  4.283E-25  
3.281E+02  4.417E-25  
3.251E+02  4.554E-25  
3.221E+02  4.695E-25  
3.192E+02  4.840E-25  
3.162E+02  4.988E-25  
3.133E+02  5.141E-25  
3.105E+02  5.297E-25  
3.076E+02  5.457E-25  
3.048E+02  5.622E-25  
3.020E+02  5.790E-25  
2.992E+02  5.963E-25  
2.965E+02  6.139E-25  
2.938E+02  6.320E-25  
2.911E+02  6.505E-25  
2.884E+02  6.695E-25  
2.858E+02  6.889E-25  
2.831E+02  7.088E-25  
2.805E+02  7.291E-25  
2.780E+02  7.499E-25  
2.754E+02  7.711E-25  
2.729E+02  7.929E-25  
2.704E+02  8.151E-25  
2.679E+02  8.379E-25  
2.655E+02  8.611E-25  
2.630E+02  8.848E-25  
2.606E+02  9.091E-25  
2.582E+02  9.338E-25  
2.559E+02  9.589E-25  
2.535E+02  9.843E-25  
2.512E+02  1.010E-24  
2.489E+02  1.036E-24  
2.466E+02  1.062E-24  
2.443E+02  1.087E-24  
2.421E+02  1.114E-24  
2.399E+02  1.140E-24  
2.377E+02  1.166E-24  
2.355E+02  1.192E-24  
2.333E+02  1.219E-24  
2.312E+02  1.246E-24  
2.291E+02  1.274E-24  
2.270E+02  1.301E-24  
2.249E+02  1.329E-24  
2.228E+02  1.357E-24  
2.208E+02  1.386E-24  
2.188E+02  1.415E-24  
2.168E+02  1.444E-24  
2.148E+02  1.473E-24  
2.128E+02  1.503E-24  
2.109E+02  1.532E-24  
2.089E+02  1.562E-24  
2.070E+02  1.592E-24  
2.051E+02  1.622E-24  
2.032E+02  1.653E-24  
2.014E+02  1.683E-24  
1.995E+02  1.714E-24  
1.977E+02  1.745E-24  
1.959E+02  1.776E-24  
1.941E+02  1.807E-24  
1.923E+02  1.838E-24  
1.905E+02  1.869E-24  
1.888E+02  1.900E-24  
1.871E+02  1.931E-24  
1.854E+02  1.963E-24  
1.837E+02  1.994E-24  
1.820E+02  2.025E-24  
