!lambda    nu*dP/dnu  
! (um)   (erg s-1 H-1)
2.014E+00  1.991E-26  
1.995E+00  1.935E-26  
1.977E+00  1.873E-26  
1.959E+00  1.807E-26  
1.941E+00  1.743E-26  
1.923E+00  1.693E-26  
1.905E+00  1.668E-26  
1.888E+00  1.674E-26  
1.871E+00  1.700E-26  
1.854E+00  1.734E-26  
1.837E+00  1.764E-26  
1.820E+00  1.785E-26  
1.803E+00  1.798E-26  
1.786E+00  1.804E-26  
1.770E+00  1.804E-26  
1.754E+00  1.800E-26  
1.738E+00  1.792E-26  
1.722E+00  1.783E-26  
1.706E+00  1.772E-26  
1.690E+00  1.760E-26  
1.675E+00  1.748E-26  
1.660E+00  1.735E-26  
1.644E+00  1.722E-26  
1.629E+00  1.709E-26  
1.614E+00  1.697E-26  
1.600E+00  1.685E-26  
1.585E+00  1.673E-26  
1.570E+00  1.663E-26  
1.556E+00  1.653E-26  
1.542E+00  1.645E-26  
1.528E+00  1.639E-26  
1.514E+00  1.634E-26  
1.500E+00  1.631E-26  
1.486E+00  1.631E-26  
1.472E+00  1.634E-26  
1.459E+00  1.640E-26  
1.445E+00  1.651E-26  
1.432E+00  1.666E-26  
1.419E+00  1.687E-26  
1.406E+00  1.715E-26  
1.393E+00  1.752E-26  
1.380E+00  1.799E-26  
1.368E+00  1.858E-26  
1.355E+00  1.931E-26  
1.343E+00  2.019E-26  
1.330E+00  2.125E-26  
1.318E+00  2.245E-26  
1.306E+00  2.373E-26  
1.294E+00  2.494E-26  
1.282E+00  2.582E-26  
1.271E+00  2.608E-26  
1.259E+00  2.550E-26  
1.247E+00  2.410E-26  
1.236E+00  2.215E-26  
1.225E+00  2.002E-26  
1.213E+00  1.800E-26  
1.202E+00  1.626E-26  
1.191E+00  1.484E-26  
1.180E+00  1.374E-26  
1.169E+00  1.293E-26  
1.159E+00  1.238E-26  
1.148E+00  1.206E-26  
1.138E+00  1.198E-26  
1.127E+00  1.216E-26  
1.117E+00  1.265E-26  
1.107E+00  1.355E-26  
1.096E+00  1.502E-26  
1.086E+00  1.730E-26  
1.076E+00  2.060E-26  
1.067E+00  2.475E-26  
1.057E+00  2.806E-26  
1.047E+00  2.750E-26  
1.038E+00  2.281E-26  
1.028E+00  1.727E-26  
1.019E+00  1.297E-26  
1.009E+00  1.007E-26  
1.000E+00  8.138E-27  
