Spec        m/mH  ED(K) Eb(K) dEb(K)                           dHf(kcal/mol)
JH            1   450.  225. 3.0E+01 Herma, Ebfac=50%         *  +51.63
X             1   350.  175. 3.0E+01 TA H2Oice, Ebfac=50%     *  +51.63
X             1   350.  287. 3.0E+01 TA H2Oice, Eb Katz       *  +51.63
X             1   373.  287. 3.0E+01 Katz et al. 1999         *  +51.63
JH2           2    23.  250. 0.0e+00 Herma, Ebfac=50%         *    0.00 
X             2   315.  158. 0.0e+00 Katz, Ebfac=50%          *    0.00
JCH2CHC2H    52  5087.    0. 0.0e+00 C4H3+H                   *  +83.00                                                      
JC4H5        53  5537.    0. 0.0e+00 C4H4+H                   *  +73.00
JC5H         61  4537.    0. 0.0e+00 C4H+C                    * +225.55                                                     
JC5H2        62  4987.    0. 0.0e+00 C5H+H                    * +180.09                                                      
JCH3C4H      64  5887.    0. 0.0e+00 C5H4                     * +101.00                                                      
JC6H         73  5337.    0. 0.0e+00 C5H+C                    * +243.79                                                      
JC6H2        74  5787.    0. 0.0e+00 C6H+H                    * +155.00                                                      
JC7H         85  6137.    0. 0.0e+00 C6H+C                    * +277.25                                                      
JHC7H        86  6587.    0. 0.0e+00 C7H+H                    * +227.68                                                      
JCH3C6H      88  7487.    0. 0.0e+00 C7H4                     * +135.00                                                      
JC8H         97  6937.    0. 0.0e+00 C7H+C                    * +298.28                                                      
JC8H2        98  7387.    0. 0.0e+00 C8H+H                    * +208.13                                                      
JC9H        109  7737.    0. 0.0e+00 C8H+C                    * +329.11                                                      
JC9H2       110  8187.    0. 0.0e+00 C9H+H                    * +277.49                                                      
JNS          46  1900.    0. 0.0e+00 N+S                      *  +63.80                                                      
JOCS         60  2888.    0. 0.0e+00 Collings                 *  -34.00                                                     
JS2          64  2200.    0. 0.0e+00 S+S                      *  +30.70                                                      
JHSS         65  2650.    0. 0.0e+00 S2+H                     * -999.99                                                      
JHSSH        66  3100.    0. 0.0e+00 S2H+H                    *   +4.00                                                      
JCS          44  1900.    0. 0.0e+00 C+S                      *  +65.30                                                      
JHCS         45  2350.    0. 0.0e+00 CS+H                     *  +74.00                                                      
JH2CS        46  2700.    0. 0.0e+00 HCS+H                    *  +28.30                                                      
JCCS         56  2700.    0. 0.0e+00 C+C+S                    * -999.99                                                      
JC3S         68  3500.    0. 0.0e+00 C2S+C                    * -999.99                                                      
JC4S         80  4300.    0. 0.0e+00 C3S+C                    * -999.99                                                      
JCCO         40  1950.    0. 0.0e+00 CO+C                     *  +64.60                                                      
JC3O         52  2750.    0. 0.0e+00 CCO+C                    *  +94.60                                                      
JH2CCO       42  2200.    0. 0.0e+00 CH2+CO                   *  -10.70                                                      
JHCOOH       46  5570.    0. 0.0e+00 Collings                 *  -88.80                                       
JCH3CHO      44  2450.    0. 0.0e+00 CH4+CO                   *  -37.00                                                      
JHCO         29  1600.    0. 0.0e+00 CO+H                     *  +10.00                                                      
JHOC         29  3650.    0. 0.0e+00 C+OH                     *  +10.00                                                      
JH2CO        30  2050.    0. 0.0e+00 HCO+H                    *  -25.10                                                      
JHNO         31  2050.    0. 0.0e+00 H+N+O                    *  +26.30                                                      
JHON         31  3650.    0. 0.0e+00 N+OH                     *  +26.30                                                      
JNHNO        45  2850.    0. 0.0e+00 HNO+N                    * -999.99                                                      
JNH2NO       46  3300.    0. 0.0e+00 NHNO+H                   * -999.99                                                      
JN2H         29  1450.    0. 0.0e+00 N2+H                     *  +76.20                                                      
JCN          26  1600.    0. 0.0e+00 C+N                      * +104.40                                                      
JCCN         38  2400.    0. 0.0e+00 CN+C                     * +133.00                                                      
JC3N         50  3200.    0. 0.0e+00 C2N+C                    * +165.00                                                      
JC4N         62  4000.    0. 0.0e+00 C3N+C                    * +189.00                                                      
JC5N         74  4800.    0. 0.0e+00 C4N+C                    * +237.00                                                      
